name,collection,material,pivot_x_mm,pivot_y_mm,pivot_z_mm,axis_x,axis_y,axis_z,spin,role,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,count
bhd_cockpit,09 Structure,ply,,,,,,,,,315,286,149.0,151.0,-18.0,18.2,-17.5,16.6,
bhd_firewall,09 Structure,ply,,,,,,,,,1264,1192,296.5,302.9,-27.9,27.9,-28.2,26.2,
bhd_nose,09 Structure,ply,,,,,,,,,1540,1530,65.0,70.4,-23.9,23.9,-34.4,20.1,
bhd_spar,09 Structure,carbon,,,,,,,,,272,254,228.8,231.3,-18.3,18.5,-17.7,16.3,
bhd_tail,09 Structure,ply,,,,,,,,,1540,1530,382.0,387.4,-23.9,23.9,-26.0,24.0,
fuselage_skin,01 Fuselage,airframe,,,,,,,,,12053,11703,0.0,438.0,-32.2,32.2,-35.6,29.1,
flaperon_l,02 Wing,control,322.9,-57.0,-6.0,0.0,1.0,0.0,-1.0,hinge,980,912,323.4,370.9,-141.0,-57.0,-16.2,-2.4,
flaperon_r,02 Wing,control,322.9,57.0,-6.0,0.0,1.0,0.0,1.0,hinge,980,912,323.3,370.9,57.0,141.0,-9.5,4.2,
leading_edge_flap_l,01 Fuselage,airframe,,,,,,,,,2590,2522,154.4,305.0,-150.0,-28.8,-14.5,2.7,
leading_edge_flap_r,01 Fuselage,airframe,,,,,,,,,2590,2522,154.4,305.0,28.8,150.0,-14.5,2.7,
spar_carbon,09 Structure,carbon,,,,,,,,,1232,1124,218.4,311.7,-144.3,144.3,-8.0,-4.0,
wing_l,02 Wing,airframe,,,,,,,,,2590,2522,186.9,349.7,-150.0,-28.8,-15.7,3.6,
wing_r,02 Wing,airframe,,,,,,,,,2590,2522,186.9,349.7,28.8,150.0,-15.7,3.6,
wing_strake_l,02 Wing,airframe,,,,,,,,,375,352,104.0,178.0,-42.8,-27.9,-7.8,-4.6,
wing_strake_r,02 Wing,airframe,,,,,,,,,375,352,104.0,178.0,27.9,42.8,-7.8,-4.6,
fin_tip_ecm_fairing,01 Fuselage,airframe,,,,,,,,,208,184,417.2,443.4,0.0,0.0,98.1,107.2,
